აღებაც	აღებ აც
საზოგადოებისაგან	სა ზოგადოებ ის ა გან
ჰიპოფიზის	ჰიპოფიზ ის
იცოდე	იცოდ ე
მუშკეტერი	მუშკეტერ ი
ოკეანეებს	ოკეანე ებს
დაიცვა	და იცვ ა
გონივრული	გონივრ ული
მეტალების	მეტალ ების
არასაკმარისად	არა სა კმარის ად
გადაწყვეტილებით	გა და წყვეტილებ ით
დაიჭირა	დაიჭირ ა
სინ	სინ
ჯაზის	ჯაზ ის
ნომინანტი	ნომინანტ ი
ბლოგზე	ბლოგ ზე
ჩალისფერი	ჩალ ის ფერ ი
დანიშნულებით	და ნიშნულ ები თ
ერთწლოვანი	ერთ წლოვან ი
ფიგურებად	ფიგურ ება დ
ორგანიზებას	ორგანიზებ ა ს
მონუმენტთა	მო ნუმენტ თა
შეუმჩნევლად	შე უ მჩნევ ლად
დაემალა	და ემალ ა
ლენტის	ლენტ ი ს
რომელნიც	რომელ ნიც
მომატება	მო მატებ ა
ავტორისა	ავტორ ის ა
მარხავენ	მარხ ა ვენ
ხუთი	ხუთ ი
ტემპერატურათა	ტემპერატურ ა თ ა
