გამოსხივება	გამოსხივ ება
მინიშნებები	მინიშნებ ები
გებრიელ	გებრიელ
დიმა	დი მა
იკეტება	იკეტ ება
პოემის	პოემ ის
მასაის	მა სა ის
ბარონესა	ბარონ ეს ა
მარანი	მა რა ნი
მორინ	მორინ
ტრანსპორტის	ტრანსპორტ ის
მახასიათებლებია	მა ხასიათებლ ები ა
ლანჩის	ლანჩ ის
