იტალიასთან	იტალი ა სთან
ემსახურებოდა	ემსახურ ებოდა
პერსონალური	პერსონალ ური
პრეზიდენტებს	პრეზიდენტ ებს
რაციონში	რაციონ ში
აპატიმრებენ	აპატიმრ ებენ
აკვარელით	აკვარელ ით
ნაწარმოებია	ნაწარმოებ ია
ლიახვის	ლიახვ ის
იტყვის	იტყვ ის
კუნძულია	კუნძულ ია
კონცენტრირებულია	კონცენტრ ი რებულია
ატლეტიკოსთან	ატლეტიკ ო სთან
თქმა	თქმ ა
ხატის	ხატ ის
ფოტოები	ფოტო ები
დისკოს	დისკ ოს
ტურინელებმა	ტურინ ელ ებმა
დეკანოზი	დეკანოზ ი
მარშლის	მარშ ლის
სპა	სპ ა
ურთიერთქმედებენ	ურთიერთქმედ ებენ
