ბათუმში	ბათუმ ში
ფაქტორს	ფაქტორ ს
ხობისწყლის	ხობ ის წყლის
შეავიწროვეს	შე ა ვიწროვ ეს
ფარგლებშია	ფარგლებ ში ა
პათოლოგიური	პათ ოლოგი ური
სპარსეთის	სპარსეთ ის
გაქცევას	გა ქცევ ას
მასას	მას ას
გამოღვიძება	გამო ღვიძ ება
მიქაძე	მიქ აძე
ასტრონომიის	ასტრო ნომ ი ის
მოსწონდათ	მოსწონ და თ
რქებს	რქ ებს
დაკავშირებულები	დაკავშირებულ ები
დანაშაულებების	დანაშაულ ებ ების
დომენიკო	დომენ იკ ო
ორშაბათს	ორშაბათ ს
ცხოველი	ცხოველ ი
წითელას	წითელ ას
სისტემებში	სისტემ ებში
აღჭურვა	აღჭურვ ა
ცაგერის	ცაგერ ის
აიაქსს	აიაქს ს
ფერნანდუ	ფერნანდ უ
აკითხავენ	აკითხ ავ ენ
ლუარსაბის	ლუარსაბ ის
ხატოვანი	ხატ ოვან ი
გადაფრენა	გადა ფრენ ა
ფირები	ფირ ები
ფრანკის	ფრანკ ის
წარმატებისა	წარმატებ ი სა
წარმოებისა	წარმოებ ი სა
აღწერილობას	აღწერილ ობა ს
მიქა	მი ქ ა
მილიარდამდე	მილიარდ ამდე
