იტალიასთან	იტალი ასთან
ატლეტიკოსთან	ატლეტიკო სთან
თქმა	თქმ ა
ხატის	ხატ ის
ფოტოები	ფოტო ები
დისკოს	დისკ ოს
ტურინელებმა	ტურინ ელებმა
დეკანოზი	დეკან ოზი
მარშლის	მარშ ლის
სპა	სპ ა
ურთიერთქმედებენ	უ რთიერთქმედებ ენ
ნაქალაქარის	ნაქალაქარი ს
