იტალიასთან	იტალია სთან
კუნძულია	კუნძულ ი ა
კონცენტრირებულია	კონცენტრ ირებული ა
ატლეტიკოსთან	ატლეტიკო სთან
თქმა	თქმა
ხატის	ხატ ის
ფოტოები	ფოტო ები
დისკოს	დის კოს
ტურინელებმა	ტურინ ელებმა
დეკანოზი	დეკანოზი
მარშლის	მარ შლის
სპა	ს პა
ურთიერთქმედებენ	ურთიერთქმედ ებენ
